sensor,a,b,c,K,g,S,sensor_desc,...9
N4,40.41569932066137,-1.1873799399986706,0.04603105827291433,-22.25053079371294,14.882946947147632,376.2481080104404,NA,NA
N6,43.87206139940676,-1.1869142304616047,0.03673022757049301,-21.8928577069934,11.892656487616133,347.1503841130583,NA,NA
42,27.235667566924857,-1.1001169717789812,0.1062281653821334,-38.23320899729,24.688522060188127,88.22021831341061,NA,NA
43,34.681817743661476,-0.9151529271788692,0.08580442323193033,-50.72445141096325,27.266000216186978,17.82961539297501,NA,NA
44,23.88513264997963,-1.1062890220053423,0.11917963729719352,-35.74975749016873,24.04524748219948,115.47114515762571,NA,NA
45,30.09115836913902,-1.0877512926310016,0.09380387714709285,-39.05975032493229,24.575792844287744,109.1057359427859,NA,NA
N1,36.89507193677928,-0.9899838972932822,0.08772967901032085,-50.51327857709757,23.883746946284592,160.64510694047007,NA,NA
N2,33.606450618386624,-0.9861270151756606,0.0943649705666997,-48.080214060731926,23.54391143766441,129.79869861836417,NA,NA
N3,19.158541385314045,-1.1441160968735156,0.16320275088048097,-31.780099653586685,26.20175034299235,67.49982374299424,NA,NA
N5,36.26929640497909,-1.0205363907400529,0.0914810805973362,-52.819384537191034,23.998360179010756,135.24205523211964,NA,NA
N6,36.99773027037266,-1.0402637919047333,0.08452410801098477,-51.00417724625282,26.7875604706379,142.2936491675984,NA,NA
FR1,9.264760440699806,-2.4195963534162184,0.00449020904028158,-7.093161558135702,2.6475581744837036,190.43250251399041,NA,NA
FR2,10.53290298206264,-2.3318377178721663,0.01075575102023644,-9.159328939116008,3.493464827436645,182.55946325761985,NA,NA
FR3,18.66347513030229,-2.2180466075426537,0.00174681298635056,-16.011751137549794,3.556204773729776,198.58534558346145,NA,NA
FR4,8.976339014483676,-2.3569852726070377,0.01324212413957006,-7.8571285988636355,2.9577410850249652,177.4265999957109,NA,NA
FR5,10.00566528440535,-2.368889557612806,0.00710313812488273,-7.956207373508032,2.946927793342238,180.76001231033408,NA,NA
46,8.69194945028046,-2.464620364372614,0.00974238729058276,-6.991606831044248,4.030531312461091,172.69319370373472,NA,NA
47,9.909042748442117,-2.432165787752101,0.00913474408265854,-8.281210159870001,4.3846174997281215,180.1270026200208,NA,NA
48,9.076479427635553,-2.4055563162475613,0.01730161470962462,-8.28051833838863,4.8578926803544045,160.67004162419772,NA,NA
49,21.216828438081077,-2.1926464184350043,0.00175508744961474,-18.75465012125832,4.369451943713698,208.03264828878383,NA,NA
50,12.37979497615302,-2.375272752296676,0.00299688400668757,-9.865957554771676,3.89643322040735,197.02695024832977,NA,NA
P10,1.1404824778135207,-1.968951912,0.790731202,-18.42787144,13.546938511336029,217.58124666471232,NA,NA
P7,-8.399909288,-3.934811163,-0.088834402,12.901191045769233,33.70447223,98.75157670284771,NA,NA
P12,33.65292859143087,-2.02276929,-0.021400036,-23.1664541,-0.532934813,596.6495152904706,NA,NA
P11,35.59962905368476,-1.143549219,0.006997824,-40.02173777,4.343455714605264,262.12993833426947,NA,NA
3.3 high values,8.174096464,-2.2021919,0.007904816,-6.564534316,6.7027629865885245,202.8345378663456,NA,NA
3.1,8.827383200712983,-2.252611312,0.001774345,-6.393368034,5.916798165,235.54918143337295,NA,NA
3.2,8.836274693534637,-2.246617107,-0.002826453,-5.911119536,5.719692437459084,233.13302517598683,NA,NA
3.3,8.866611267576566,-2.164288914,0.00603481,-7.144423376,6.7027629865885245,202.8345378663456,NA,NA
3.4,9.281147049713288,-2.181977541,0.003023663,-7.094567409,6.363981378101872,221.08203648731575,NA,NA
3.5,7.940831299435842,-2.232394909,0.004281894,-5.831371009,6.2009860348395955,197.73973722227063,NA,NA
P12,2.603283775534651,-2.152965162,0.13378743575942856,-6.585402241,8.109658,185.51038233842664,NA,NA
P15,10.269710577675204,-1.934717755,0.019779009,-11.40750424,8.366559134,189.74887805212495,NA,NA
P16,9.674533222282632,-1.992758777,0.027158931,-12.02332966,9.906330192439226,197.5234433,NA,NA
P17,6.902330489448538,-2.130950708,0.022772716,-7.97616805,8.502934686542686,205.00430680450023,NA,NA
P4,14.62160927820928,-1.856320426,0.00510084,-13.92769023,6.740099067124296,196.16872166187372,NA,NA
P5,12.327259931730788,-1.997246916,8.333979530389488e-6,-10.75933934,5.931218561062709,202.52327082557736,NA,NA
P9,5.110614688109718,-2.178581444,0.035776231,-6.485426134,7.899905925458882,149.81174323574766,NA,NA
P11,7.209711826294307,-2.225048551,0.019429075,-7.501895134,7.492423557188445,182.7455570688455,NA,NA
P13,3.534543016,-2.329183592,0.072149292,-5.44550802,4.559025609418541,280.2141308344697,NA,NA
13gul,15.14703344265244,-2.12115795,0.005453386,-14.35527201,8.662558372341373,287.5291206538401,sensor13gul,NA
21,5.691253242846125,-2.047962274,0.096805265,-12.42245802,10.521227813085964,137.19750373429156,sensor21,NA
4grøn,-12.02578492,-3.507182554,-0.118138443,-4.034129037,29.562530817005836,-146.5279102,sensor4_grøn,NA
P1,12.94512079,-2.173047743,0.001217232,-10.71694928,8.790964873945281,267.6222776686637,NA,NA
P2,15.149812483797785,-2.125287324,-4.84e-4,-12.29968086,8.392450737133744,265.91409815328916,NA,NA
P3,15.532756514270666,-2.101012709,-0.005007858,-11.49655401,8.146970798280686,287.2895424047919,NA,NA
P6,15.148169023934225,-2.128612903,-0.013080895,-9.073408221,4.523833698918408,278.64007968998277,NA,NA
P8,23.136409008493768,-1.751155911,-0.361350916,-18.90435973,862.4583379,315.45046511627845,NA,NA
